,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,combo,cheeseburger,hamburger,fries,restaurant_rating first,state,zip,county_name
0,McDonald,"1 christy dr, chadds ford, pa, 19317, us",5.516615384615381,3.61,4.646158637287393,4.3,145,90,6.59,11.69,3.09,2.49,3.99,,pa,19317,Chester
1,McDonald,"100 brownswitch rd, slidell, la, 70458, us",4.788059701492535,4.07,4.223423220318833,4.0,134,360+,5.87,10.43,2.39,2.27,2.87,,la,70458,St. Tammany
2,McDonald,"3301 pontchartrain drive, slidell, la, 70458, us",4.927593984962404,4.07,4.420473582354569,4.2,133,460+,5.87,10.43,2.39,2.27,2.87,,la,70458,St. Tammany
3,Wendy,"3915 pontchartrain, slidell, la, 70458, us",5.523137254901961,4.87,2.958956155501582,,83,170+,6.7,0.0,2.79,2.43,0.0,4.2,la,70458,St. Tammany
4,Burger King,"120 brownswitch road, slidell, la, 70458, us",7.366483516483517,5.99,5.691847142894822,4.1,91,170+,6.49,11.69,2.79,3.89,3.39,,la,70458,St. Tammany
5,Burger King,"185 gause blvd., slidell, la, 70458, us",7.343924050632911,5.39,5.966669961093158,4.1,79,260+,6.49,11.69,2.79,3.89,3.39,,la,70458,St. Tammany
6,Sonic,"1249 gause blvd., slidell, la, 70458, us",5.46388888888889,4.6850000000000005,3.076385214444757,4.1,87,28,0.0,,9.38,,4.87,,la,70458,St. Tammany
7,Sonic,"3225 pontchartrain dr, slidell, la, 70458, us",5.449473684210527,4.75,3.0420750772496175,3.7,87,23,9.38,0.0,4.75,,0.0,,la,70458,St. Tammany
8,Five Guys,"116 north town center blvd., slidell, la, 70458, us",7.275172413793106,6.95,2.668302599664613,4.7,29,700+,11.87,,8.99,8.03,6.59,,la,70458,St. Tammany
9,McDonald,"100 w parkwood ave, friendswood, tx, 77546, us",4.906496350364964,3.69,3.6570602830990175,4.6,152,1,5.59,8.89,1.79,2.39,3.19,,tx,77546,Galveston
10,Wendy,"3101 fm 528, friendswood, tx, 77546, us",5.703953488372085,4.87,2.846231731184956,,347,250+,6.94,0.0,3.04,2.67,0.0,4.6,tx,77546,Galveston
11,McDonald,"1000 commerce st, dallas, tx, 75202, us",4.806615384615384,3.99,2.961903897533621,4.4,146,4,5.89,11.19,2.79,2.19,4.09,,tx,75202,Dallas
12,McDonald,"1001 n 9th street, reading, pa, 19604, us",6.607355371900836,4.69,4.840491705198033,4.1,143,2,7.99,13.29,3.89,3.59,5.19,,pa,19604,Berks
13,McDonald,"1003 village plains blvd, franklin, tn, 37064, us",4.7099200000000065,3.79,3.187461057581726,4.6,138,200+,6.29,10.29,2.49,2.29,3.49,,tn,37064,Williamson
14,McDonald,"106 new hwy 96 w, franklin, tn, 37064, us",5.357570093457941,4.49,3.6465323025954324,4.7,130,1,5.79,10.18,2.69,2.29,3.79,,tn,37064,Williamson
15,Sonic,"401 hillsboro road, franklin, tn, 37064, us",4.864736842105265,4.38,2.982876337788308,4.7,87,300+,8.16,0.0,4.26,,0.0,,tn,37064,Williamson
16,McDonald,"10031 s memorial pky, huntsville, al, 35803, us",5.1945161290322615,4.79,3.2927327984514494,4.4,140,460+,6.29,11.19,2.69,2.29,3.79,,al,35803,Madison
17,Burger King,"11925 south memorial parkway, huntsville, al, 35803, us",7.430263157894733,6.1899999999999995,6.092689098999203,4.2,76,140+,6.89,12.79,2.49,3.69,3.69,,al,35803,Madison
18,Sonic,"11606 memorial pkwy sw, huntsville, al, 35803, us",4.611842105263158,3.95,2.913612204863991,4.2,88,89,7.55,0.0,3.89,,0.0,,al,35803,Madison
19,McDonald,"1004 w sheridan, oklahoma city, ok, 73106, us",5.7268461538461555,4.41,4.610112302088728,4.5,148,1,6.81,11.49,2.49,2.39,3.79,,ok,73106,Oklahoma
20,Sonic,"900 w. sheridan, oklahoma city, ok, 73106, us",4.672368421052632,4.01,2.959328190307749,4.4,86,390+,7.92,0.0,4.01,,0.0,,ok,73106,Oklahoma
21,McDonald,"101 s 52nd st, philadelphia, pa, 19139, us",7.089760000000002,4.31,6.519961406511544,3.8,145,4,6.99,11.99,3.29,2.92,4.63,,pa,19139,Philadelphia
22,McDonald,"5601 vine st, philadelphia, pa, 19139, us",5.751359223300973,4.29,3.7554312897361717,4.0,124,10,5.89,9.79,2.39,1.69,3.79,,pa,19139,Philadelphia
23,Wendy,"5601 chestnut st, philadelphia, pa, 19139, us",5.804656084656082,5.23,2.98199136497238,,324,7,7.92,0.0,2.79,2.18,0.0,3.8,pa,19139,Philadelphia
24,McDonald,"101 s expressway, brownsville, tx, 78520, us",5.540793650793654,4.63,3.223870690220264,4.6,131,400+,5.51,8.3,3.07,3.21,3.89,,tx,78520,Cameron
25,McDonald,"1104 international blvd, brownsville, tx, 78520, us",5.703388429752071,4.68,3.306657585283424,4.7,127,140+,5.51,8.3,2.73,2.39,3.89,,tx,78520,Cameron
26,McDonald,"1609 central blvd, brownsville, tx, 78520, us",5.542977099236643,4.66,3.1766576353614164,4.6,137,380+,5.51,8.3,3.07,3.21,3.89,,tx,78520,Cameron
27,McDonald,"1011 s lake dr, lexington, sc, 29073, us",5.307500000000002,3.79,3.8915740502667693,4.295593220338983,295,150+,6.19,11.09,2.69,2.39,3.99,,sc,29073,Lexington
28,McDonald,"1770 southlake drive, lexington, sc, 29073, us",5.352751937984504,3.99,3.8164413525403442,4.3509933774834435,302,700+,6.19,11.09,2.69,2.19,3.79,,sc,29073,Lexington
29,Sonic,"1857 southlake drive, lexington, sc, 29073, us",5.258823529411767,5.675000000000001,3.0190169462590477,4.2,34,500+,,,,,10.2,,sc,29073,Lexington
30,Hardees,"1910 s lake dr, lexington, sc, 29073-8282, us",5.623235294117644,3.38,5.213796020620358,4.278787878787879,99,22,7.37,0.0,5.55,,2.77,,sc,29073,Lexington
31,McDonald,"1015 wellborn rd., college station, tx, 32827, us",5.349322033898307,4.095,4.009612122247044,4.5,141,390+,5.22,8.29,2.35,2.14,3.32,,tx,32827,Orange
32,McDonald,"102 hwy 3 south, league city, tx, 77573, us",4.844108527131784,3.89,3.3873782165592763,4.7,143,360+,5.89,9.99,1.99,1.79,2.79,,tx,77573,Galveston
33,McDonald,"113 n gulf fwy, league city, tx, 77573, us",4.990232558139536,3.79,3.7962399727115312,4.6,143,1,5.41,9.23,1.94,1.77,2.89,,tx,77573,Galveston
34,McDonald,"1701 w fm 646, league city, tx, 77573, us",5.474368932038839,4.59,3.5190039328513296,4.8,250,88,5.89,10.19,2.19,1.89,2.99,,tx,77573,Galveston
35,McDonald,"2550 e, league city, tx, 77573, us",4.886585365853659,3.89,3.4733233843314357,4.6,137,700+,6.09,10.19,1.89,1.69,3.09,,tx,77573,Galveston
36,Jack in the Box,"1503 w, league city, tx, 77573, us",7.617236842105266,6.88,3.6116831980190582,4.6,152,260+,5.84,11.41,3.76,3.37,4.28,,tx,77573,Galveston
37,Jack in the Box,"1665 west fm 646 road, league city, tx, 77573, us",7.725584415584417,6.88,3.713351128901006,4.4,154,300+,5.84,11.41,3.76,3.37,4.28,,tx,77573,Galveston
38,Jack in the Box,"1908 east main street, league city, tx, 77573, us",7.497328244274807,6.49,3.766397194077306,4.4,131,340+,5.84,11.41,3.76,3.37,4.28,,tx,77573,Galveston
39,Wendy,"1750 west main, league city, tx, 77573, us",5.704312267657985,4.87,2.8449331453258546,,434,320+,6.94,0.0,3.04,2.67,0.0,4.7,tx,77573,Galveston
40,Wendy,"2535 e., league city, tx, 77573, us",5.66557692307692,5.050000000000001,2.87274889358978,,85,360+,7.19,0.0,3.04,2.55,0.0,4.6,tx,77573,Galveston
41,Burger King,"3034 marina bay drive, league city, tx, 77573, us",7.08301075268817,5.99,5.597149578891608,4.7,93,430+,6.55,11.09,1.69,3.59,3.25,,tx,77573,Galveston
42,Burger King,"4898 west main street, league city, tx, 77573, us",7.48638297872341,6.29,5.8378209012099616,4.6,94,480+,6.89,11.59,2.39,3.19,3.09,,tx,77573,Galveston
43,Sonic,"1159 w main st, league city, tx, 77573, us",5.041666666666661,4.26,3.059849079430045,4.4,340,320+,0.0,,8.77,,4.26,,tx,77573,Galveston
44,Sonic,"2311 fm rd 518 east, league city, tx, 77573, us",5.060769230769226,4.26,3.0619606308356615,4.224127906976745,344,210+,0.0,,8.77,,4.26,,tx,77573,Galveston
45,Five Guys,"1615 n, fm646, league city, tx, 77573, us",8.630357142857147,8.925,3.10585562416595,4.7,28,800+,13.45,,10.51,9.17,7.33,,tx,77573,Galveston
46,McDonald,"102 n university, lubbock, tx, 79415, us",4.5305932203389805,3.21,3.916586911830267,4.5,130,1,5.61,9.28,1.79,1.39,2.99,,tx,79415,Lubbock
47,Wendy,"212 university ave, lubbock, tx, 79415, us",5.732613636363619,4.87,2.9252435244214166,,1633,190+,6.58,0.0,3.28,2.79,0.0,3.9,tx,79415,Lubbock
48,Burger King,"1804 4th street, lubbock, tx, 79415, us",7.504371387283157,5.99,5.6983420322919205,3.905780346820809,1384,270+,7.74,12.74,2.36,3.74,3.49,,tx,79415,Lubbock
49,Sonic,"101 n. university, lubbock, tx, 79415, us",5.116666666666665,4.07,3.198826173596947,4.4,435,500+,0.0,,9.47,,4.79,,tx,79415,Lubbock
50,McDonald,"1024 elmwood ave, columbia, sc, 29201, us",5.187258064516131,3.79,3.3975048573892206,4.1,290,2,6.22,10.68,2.79,2.29,4.29,,sc,29201,Richland
51,McDonald,"2015 bluff road, columbia, sc, 29201, us",5.103388429752065,3.5,3.927716842253778,4.4,142,500+,5.5,10.29,2.38,2.26,3.1,,sc,29201,Richland
52,Wendy,"804 assembly, columbia, sc, 29201, us",5.162745098039213,4.38,2.7915735097817476,,427,1,6.45,0.0,2.18,1.82,0.0,4.1,sc,29201,Richland
53,Burger King,"2022 bluff road, columbia, sc, 29201, us",7.979468085106381,6.455,5.771023060417889,4.1,94,120+,7.81,13.79,3.59,4.26,3.76,,sc,29201,Richland
54,Five Guys,"931 senate st, columbia, sc, 29201, us",7.7146428571428585,7.305,3.351000790960875,4.8,140,1,12.83,,9.42,8.05,7.18,,sc,29201,Richland
55,McDonald,"105 s.w. 19th, moore, ok, 73160-6011, us",5.221935483870969,3.74,3.865592780444516,4.4,139,1,6.39,9.59,2.79,2.69,3.69,,ok,73160,Cleveland
56,McDonald,"630 nw 12th st, moore, ok, 73160, us",5.2574193548387145,4.09,4.03391966409838,4.3,140,2,6.19,9.79,2.99,2.49,4.19,,ok,73160,Cleveland
57,Jack in the Box,"690 sw 19th st, moore, ok, 73160, us",6.932751677852338,6.24,3.3235199782337226,4.4,298,320+,5.99,11.1,3.24,2.86,4.49,,ok,73160,Cleveland
58,Burger King,"1301 north eastern, moore, ok, 73160, us",7.478205128205127,6.29,5.995680013953154,4.5,78,500+,6.89,11.79,2.69,3.39,3.69,,ok,73160,Cleveland
59,Five Guys,"1301 north eastern, moore, ok, 73160, us",7.478205128205127,6.29,5.995680013953154,4.5,78,500+,2.69,,,,,,ok,73160,Cleveland
60,McDonald,"10536, d'iberville, ms, 39540, us",4.764671532846714,4.07,4.203646149535365,4.2,137,500+,5.87,10.43,2.39,2.27,2.87,,ms,39540,Harrison
61,Wendy,"3681 sangani blvd, diberville, ms, 39540, us",4.423333333333333,3.69,2.2931839896653554,,86,350+,5.59,0.0,2.29,1.99,0.0,4.3,ms,39540,Harrison
62,Five Guys,"3840 promenade parkway, d'iberville, ms, 39540, us",7.5744827586206895,7.38,2.6981214233647774,4.7,29,1,11.82,,9.42,8.58,7.02,,ms,39540,Harrison
63,McDonald,"106 louis henna blvd, round rock, tx, 78664, us",5.675271317829462,4.19,4.310114492898128,4.5,153,1,5.42,10.0,2.69,2.26,3.43,,tx,78664,Williamson
64,McDonald,"1850 e palm valley, round rock, tx, 78664, us",4.9919424460431685,3.69,3.8311579250987897,4.3,153,2,5.49,10.19,2.29,2.09,3.19,,tx,78664,Williamson
65,Jack in the Box,"1121 e palm valley blvd, round rock, tx, 78664, us",8.578311688311649,7.86,4.042064504840559,4.2,308,1,6.24,12.35,4.11,3.74,5.36,,tx,78664,Williamson
66,Jack in the Box,"3760 gattis school rd, round rock, tx, 78664, us",8.494473684210485,7.800000000000001,4.005093104488738,4.3,304,250+,6.24,12.35,4.11,3.74,5.36,,tx,78664,Williamson
67,Wendy,"4849 north ih-35, round rock, tx, 78664, us",5.804313725490195,4.87,2.726942017044261,,86,500+,6.94,0.0,3.16,2.79,0.0,4.3,tx,78664,Williamson
68,Wendy,"607 louis henna blvd, round rock, tx, 78664, us",5.854150943396225,4.87,2.861296997083312,,88,2,6.94,0.0,3.16,2.79,0.0,4.3,tx,78664,Williamson
69,Sonic,"1805 n mays st, round rock, tx, 78664, us",5.048055555555546,4.074999999999999,2.939263720583067,4.24,435,300+,0.0,,8.04,,4.14,,tx,78664,Williamson
70,Sonic,"405 louis henna blvd, round rock, tx, 78664, us",4.935277777777775,4.3149999999999995,3.047473895714568,4.4,261,500+,0.0,,8.04,,4.01,,tx,78664,Williamson
71,Sonic,"901 n a.w. grimes blvd, round rock, tx, 78664, us",5.048055555555551,4.074999999999999,2.9392637205830647,4.6,261,900+,0.0,,8.04,,4.14,,tx,78664,Williamson
72,Five Guys,"3107 s ih-35 suite 750, round rock, tx, 78664, us",8.5555172413793,8.87,3.2654804644180353,4.6,377,1,13.55,,10.55,9.23,7.55,,tx,78664,Williamson
73,McDonald,"106 se broad st, murfreesboro, tn, 37130, us",5.1810687022900765,3.89,3.963708313019493,4.2,145,700+,5.49,10.19,2.49,2.49,3.49,,tn,37130,Rutherford
74,McDonald,"1436 n. rutherford blvd., murfreesboro, tn, 37130, us",5.35704453441296,3.99,4.2078807606671065,4.3,275,2,6.19,10.79,2.19,2.19,3.49,,tn,37130,Rutherford
75,McDonald,"1706 memorial blvd, murfreesboro, tn, 37130, us",5.200901639344262,3.89,4.04045606987878,4.4,136,1,5.59,10.19,2.29,2.59,3.19,,tn,37130,Rutherford
76,McDonald,"1716 s rutherford blvd, murfreesboro, tn, 37130, us",4.995748031496062,3.69,3.8869730991505147,4.6,141,1,5.69,9.79,2.19,2.39,3.19,,tn,37130,Rutherford
77,Wendy,"1905 s church street, murfreesboro, tn, 37130, us",5.643787878787872,4.5,3.3014698357272176,,436,900+,7.19,0.0,2.43,1.94,0.0,4.4,tn,37130,Rutherford
78,Burger King,"1661 middle tennessee blvd, murfreesboro, tn, 37130, us",6.06710843373494,6.1,2.952082185374582,4.6,415,400+,6.99,9.55,2.69,4.4,4.05,,tn,37130,Rutherford
79,Sonic,"1650 middle tennessee blvd., murfreesboro, tn, 37130, us",4.780526315789473,3.77,2.924573695761325,4.4,88,500+,7.79,0.0,3.59,,0.0,,tn,37130,Rutherford
80,Hardees,"1685 middle tennessee blvd, murfreesboro, tn, 37130, us",5.576086956521737,3.38,4.873355602971967,4.5731958762886595,97,400+,7.37,0.0,5.19,,2.89,,tn,37130,Rutherford
81,McDonald,"1075 e gentile, layton, ut, 84041, us",5.6436206896551715,4.2,3.863211188080437,4.1,138,290+,6.24,10.82,2.85,2.55,3.99,,ut,84041,Davis
82,McDonald,"1155 n hill field rd, layton, ut, 84041, us",5.805288461538462,4.3,4.047257370674893,4.2,126,900+,6.36,10.82,2.85,2.55,3.92,,ut,84041,Davis
83,McDonald,"2080 n main st, layton, ut, 84041, us",5.610000000000003,4.3,3.855854024261067,4.0,139,700+,6.36,10.82,2.85,2.32,3.59,,ut,84041,Davis
84,Wendy,"1105 n 400 west, layton, ut, 84041, us",5.846959314775155,4.87,2.9689787580214166,,773,230+,6.94,0.0,2.67,2.31,0.0,4.4,ut,84041,Davis
85,Burger King,"803 n. main, layton, ut, 84041, us",4.854385964912193,3.74,2.239493220824485,4.205882352941177,1615,140+,7.74,0.0,2.49,4.49,3.99,,ut,84041,Davis
86,Sonic,"796 w antelope dr, layton, ut, 84041, us",4.874324324324325,4.43,2.857840368265766,4.3,86,600+,8.18,0.0,3.5,,0.0,,ut,84041,Davis
87,Carls Jr,"925 w antelope drive, layton, ut, 84041, us",6.88661016949153,5.49,4.204798151172061,4.6,930,200+,7.69,0.0,5.09,,3.79,,ut,84041,Davis
88,The Habit,"508 antelope dr, layton, ut, 84041, us",10.354615384615299,7.835,9.672048240148682,4.5,546,500+,8.74,15.87,7.86,6.74,3.74,,ut,84041,Davis
89,Five Guys,"2065 n. harris blvd., layton, ut, 84041, us",7.446551724137936,7.19,2.937144139398078,4.6,145,700+,12.23,,10.19,8.99,7.19,,ut,84041,Davis
90,McDonald,"108 village rd, leland, nc, 28451, us",6.418290598290603,4.69,5.618839234477443,4.3,139,500+,6.29,12.09,2.99,2.59,4.59,,nc,28451,Brunswick
91,Wendy,"ocean highway east, leland, nc, 28451, us",5.381923076923077,4.62,3.1177155335163267,,86,100+,6.33,0.0,2.43,2.18,0.0,4.2,nc,28451,Brunswick
92,Five Guys,"2028 olde regent way ste. 110, leland, nc, 28451, us",8.274285714285716,8.51,3.33102025186989,4.6,28,800+,13.31,,10.31,8.99,7.31,,nc,28451,Brunswick
93,Hardees,"101 village road ne, leland, nc, 28451, us",7.1730769230769305,6.74,4.388658476670526,4.4,107,80,6.74,11.11,5.49,,3.11,,nc,28451,Brunswick
94,McDonald,"109 e rancier st, killeen, tx, 76541, us",6.1360727272727305,4.29,5.835436622612646,4.449501661129568,301,4,5.79,10.88,2.39,2.09,3.39,,tx,76541,Bell
95,McDonald,"1105 s fort hood st, killeen, tx, 76541, us",6.123333333333336,4.29,5.7794924396974565,4.5,154,7,5.79,10.88,2.39,2.09,3.39,,tx,76541,Bell
96,McDonald,"2102 business hwy 190, killeen, tx, 76541, us",5.282629107981224,4.3,3.6452018290042867,4.2,255,1,5.71,10.39,2.29,2.26,2.98,,tx,76541,Bell
97,Jack in the Box,"1100 east central texas expy, killeen, tx, 76541, us",7.179078947368424,6.24,3.5592933130755267,4.1,152,1,6.24,11.85,3.11,2.74,4.11,,tx,76541,Bell
98,Wendy,"2008 e central texas expy, killeen, tx, 76541, us",5.7394230769230745,4.99,2.939614321550951,,87,700+,6.7,0.0,2.92,2.67,0.0,4.0,tx,76541,Bell
99,Burger King,"1029 s fort hood st, killeen, tx, 76541, us",7.7083333333333375,6.39,6.1059547263026825,4.3,78,450+,6.9,12.28,2.93,3.83,3.57,,tx,76541,Bell
100,Burger King,"505 east rancier, killeen, tx, 76541, us",7.795875000000004,6.39,6.114065687770696,4.3,80,800+,7.16,12.53,2.93,3.83,3.83,,tx,76541,Bell
101,McDonald,"110 jena marie way, austin, tx, 78717, us",5.44954545454546,3.99,4.328478958758924,4.5,157,110+,5.65,9.68,2.49,1.99,3.64,,tx,78717,Williamson
102,McDonald,"11000 quivira rd, overland park, ks, 66210, us",6.559491525423732,4.89,5.17959668076115,4.7,144,600+,6.99,12.39,2.89,2.39,4.69,,ks,66210,Johnson
103,McDonald,"1101 summit ave, greensboro, nc, 27405, us",5.4646666666666714,4.31,4.216020556559625,4.0,150,1,5.71,10.79,2.43,2.23,3.95,,nc,27405,Guilford
104,McDonald,"2001 e cone blvd, greensboro, nc, 27405, us",5.126864406779662,3.74,4.101302335359006,4.3,133,1,5.49,10.09,2.69,2.39,3.79,,nc,27405,Guilford
105,Wendy,"3103 sands drive, greensboro, nc, 27405, us",6.080961538461539,5.23,3.450047524541892,,88,600+,6.58,0.0,3.16,2.67,0.0,4.1,nc,27405,Guilford
106,Burger King,"1201 summit ave ste b, greensboro, nc, 27405, us",6.030361445783133,6.1,2.9269073467304865,4.1,83,600+,6.99,9.55,2.69,4.4,3.79,,nc,27405,Guilford
107,Sonic,"915 summit avenue, greensboro, nc, 27405, us",5.032368421052631,4.199999999999999,3.0309833684887493,4.2,88,900+,8.28,0.0,4.26,,0.0,,nc,27405,Guilford
108,McDonald,"1102 regent st, madison, wi, 53715, us",6.0336363636363695,5.19,4.268046372136875,4.5,137,6,6.99,12.59,2.99,2.89,4.79,,wi,53715,Dane
109,McDonald,"1107 shaver st, pasadena, tx, 77506, us",6.13531531531532,5.09,4.6264548371334735,4.3,124,150+,6.09,10.59,2.79,2.69,3.89,,tx,77506,Harris
110,McDonald,"131, pasadena, tx, 77506, us",5.237238805970153,4.04,3.728676967510907,4.4,150,900+,5.69,10.09,2.19,1.79,3.89,,tx,77506,Harris
111,Jack in the Box,"221 richey st, pasadena, tx, 77506, us",7.342727272727274,6.61,3.4814204954126926,4.5,154,310+,5.36,10.49,3.49,2.99,4.11,,tx,77506,Harris
112,Jack in the Box,"903, pasadena, tx, 77506, us",7.397467532467522,6.67,3.5294667861307882,4.3,154,700+,5.41,10.57,3.39,2.89,4.15,,tx,77506,Harris
113,McDonald,"11101 s sam, houston, tx, 77089, us",4.991940298507465,3.645,3.8155098791939692,4.4,157,1,5.1,9.69,2.01,1.49,2.99,,tx,77089,Harris
114,Jack in the Box,"11080 scarsdale blvd, houston, tx, 77089, us",6.932142857142842,6.29,3.4556077076170664,4.2,154,450+,5.41,10.56,2.89,2.51,4.15,,tx,77089,Harris
115,Jack in the Box,"11605 s sam, houston, tx, 77089, us",6.999379310344831,6.39,3.5675609789998384,4.5,145,1,5.49,10.73,2.93,2.55,4.21,,tx,77089,Harris
116,Wendy,"11001a fuqua, houston, tx, 77089, us",7.450750000000001,6.09,6.1682375471037085,,80,700+,,3.09,,,,4.5,tx,77089,Harris
117,Burger King,"10991 scarsdale boulevard, houston, tx, 77089, us",7.48638297872341,6.29,5.8378209012099616,4.5,94,390+,6.89,11.59,2.39,3.19,3.09,,tx,77089,Harris
118,Burger King,"11001a fuqua, houston, tx, 77089, us",7.450750000000001,6.09,6.1682375471037085,4.5,80,700+,6.89,11.59,2.39,3.19,3.09,,tx,77089,Harris
119,Sonic,"11110 scarsdale blvd, houston, tx, 77089, us",5.2363541666666675,4.38,3.1928556705399798,4.466666666666667,240,390+,0.0,,8.77,,4.26,,tx,77089,Harris
120,Five Guys,"11001a fuqua, houston, tx, 77089, us",7.450750000000001,6.09,6.1682375471037085,4.5,80,700+,2.39,,,,,,tx,77089,Harris
121,McDonald,"1117 e 3rd st, chattanooga, tn, 37403, us",5.542264150943397,4.19,3.57502164738633,4.1,256,2,6.11,10.55,2.51,2.15,3.35,,tn,37403,Hamilton
122,McDonald,"1125 radisson st, green bay, wi, 54302, us",5.929999999999999,5.69,4.167355130114041,4.2,139,500+,6.29,10.99,2.79,2.69,4.49,,wi,54302,Brown
123,McDonald,"1609 s main st, green bay, wi, 54302, us",6.178582677165349,5.63,4.981903902639331,4.4,146,800+,10.91,10.91,2.75,2.65,4.45,,wi,54302,Brown
124,Wendy,"1100 radisson street, green bay, wi, 54302, us",5.976923076923077,4.93,3.4902113328463362,,85,800+,7.31,0.0,2.67,2.43,0.0,4.6,wi,54302,Brown
125,Burger King,"2219 main street, green bay, wi, 54302, us",8.376489361702125,6.8149999999999995,6.084000592318647,4.1,94,260+,8.95,15.59,2.98,5.18,4.28,,wi,54302,Brown
126,Burger King,"2328 university ave, green bay, wi, 54302, us",8.376489361702125,6.8149999999999995,6.084000592318647,3.8,94,180+,8.95,15.59,2.98,5.18,4.28,,wi,54302,Brown
127,Hardees,"1593 e mason st, green bay, wi, 54302, us",9.869859154929587,9.61,5.017759865185829,4.6,72,170+,7.61,12.74,7.11,,2.99,,wi,54302,Brown
128,McDonald,"113 nw 23rd st, oklahoma city, ok, 73103, us",5.859224806201553,4.39,4.666028241889814,4.4,146,1,6.69,11.49,2.89,2.39,3.69,,ok,73103,Oklahoma
129,McDonald,"114 moorehead ave, west conshohocken, pa, 19428, us",6.634015151515162,4.19,5.504325001945576,4.3,155,460+,6.89,11.69,3.19,2.89,4.59,,pa,19428,Montgomery
130,McDonald,"209 213 ridge pike, conshohocken, pa, 19428, us",5.59850806451613,4.140000000000001,4.315547729965727,4.5,296,800+,6.89,11.89,3.19,2.89,4.19,,pa,19428,Montgomery
131,Wendy,"1013 ridge pike, conshohocken, pa, 19428, us",5.924313725490198,4.75,3.134705324301435,,85,700+,8.04,0.0,2.79,2.31,0.0,4.1,pa,19428,Montgomery
132,Burger King,"409 west ridge pike, conshohocken, pa, 19428, us",7.750246913580251,6.39,6.102828523595955,4.4,81,380+,7.16,12.9,3.19,3.83,3.83,,pa,19428,Montgomery
133,Five Guys,"200 west ridge pike, conshohocken, pa, 19428, us",8.385714285714286,8.870000000000001,3.415332475523773,4.6,28,1,13.67,,10.43,9.35,7.31,,pa,19428,Montgomery
134,McDonald,"1140 west 800 north, orem, usa, orem, ut, 84057, us",5.619745762711861,4.3,3.8584508751184594,4.1,140,370+,6.36,10.82,2.85,2.32,3.78,,ut,84057,Utah
135,McDonald,"15 state st, orem, ut, 84057, us",5.363543307086616,4.01,3.887805592730257,4.6,142,700+,6.24,10.82,2.85,2.39,3.99,,ut,84057,Utah
136,Wendy,"215 west center street, orem, ut, 84057, us",5.770392156862745,4.75,2.9394470340220176,,85,200+,6.94,0.0,2.67,2.31,0.0,4.3,ut,84057,Utah
137,Wendy,"997 north state street, orem, ut, 84057, us",5.7627450980392165,4.87,2.9446568949781975,,85,200+,6.94,0.0,2.67,2.31,0.0,4.5,ut,84057,Utah
138,Burger King,"11 west center street, orem, ut, 84057, us",8.336923076923076,7.140000000000001,6.169640164816227,4.5,78,350+,7.59,12.89,2.99,4.29,4.29,,ut,84057,Utah
139,Sonic,"406 w 800 n, orem, ut, 84057, us",4.885285714285714,4.43,2.946027214222361,4.275370919881306,337,270+,8.18,0.0,3.5,,0.0,,ut,84057,Utah
140,Carls Jr,"1331 n state st, orem, ut, 84057, us",7.135454545454545,6.39,4.185595132304395,4.4,95,170+,7.69,0.0,5.09,,3.79,,ut,84057,Utah
141,McDonald,"11401 hwy 49 n, gulfport, ms, 39503, us",3.855151515151514,3.24,2.3774504057053676,4.2,80,700+,3.59,,,,,,ms,39503,Harrison
142,McDonald,"9500 hwy 49, gulfport, ms, 39503, us",5.438760330578517,4.79,3.561667259842123,3.8,135,260+,5.79,9.79,2.69,2.59,3.59,,ms,39503,Harrison
143,Wendy,"12102 hwy 49 n, gulfport, ms, 39503, us",5.404423076923076,4.6850000000000005,2.770903361070273,,87,350+,6.82,0.0,2.79,2.43,0.0,4.5,ms,39503,Harrison
144,Wendy,"9373 canal road, gulfport, ms, 39503, us",5.395882352941176,4.5,2.797259286439306,,86,210+,6.82,0.0,2.79,2.43,0.0,4.1,ms,39503,Harrison
145,Wendy,"9455 highway 49, gulfport, ms, 39503, us",5.395882352941176,4.5,2.7972592864393064,,86,120+,6.82,0.0,2.79,2.43,0.0,3.8,ms,39503,Harrison
146,Five Guys,"10495 highway 49, gulfport, ms, 39503, us",7.5744827586206895,7.38,2.6981214233647774,4.7,29,700+,11.82,,9.42,8.58,7.02,,ms,39503,Harrison
147,McDonald,"1142 culebra rd, san antonio, tx, 78201, us",5.998405797101449,4.34,5.043755393851873,4.3,155,1,6.09,10.39,3.01,2.39,3.89,,tx,78201,Bexar
148,Jack in the Box,"4626 fredericksburg rd., san antonio, tx, 78201, us",8.719870129870126,7.675000000000001,4.77956975010521,4.0,154,1,11.73,,4.11,5.61,,,tx,78201,Bexar
149,Burger King,"3400 fredricksburg, san antonio, tx, 78201, us",7.899620253164555,6.89,6.03102767300078,4.2,79,350+,7.69,12.59,2.79,3.59,3.59,,tx,78201,Bexar
150,McDonald,"115 s cherry rd, rock hill, sc, 29732, us",4.78118773946361,3.69,3.256914443568214,4.1,318,230+,5.69,10.39,2.49,2.19,2.89,,sc,29732,York
151,McDonald,"1785 mt gallant rd, rock hill, sc, 29732, us",5.124059040590412,4.39,3.5860585601066526,4.150498338870432,301,420+,5.89,10.89,2.65,2.23,3.59,,sc,29732,York
